isin,name,type,listing_date,year,sub_total_x,issue_size_cr,score,quintile,n_flags,allottee_ret,alpha_1y,ret_1y,outcome_class,is_bad,is_winner
INE073K01018,Sona BLW Precision Forgings Ltd.,MB,2021-06-24,2021,2.28,5550.0,58.3,5,0,1.0698,0.6117,0.9933,multibagger,False,True
INE201P01022,G R Infraprojects Ltd.,MB,2021-07-19,2021,102.58,962.0,45.5,5,0,0.0613,-0.3232,0.4906,flat,False,False
INE852O01025,Aptus Value Housing Finance India Ltd.,MB,2021-08-24,2021,17.2,2780.0,52.8,5,0,-0.2484,-0.0868,-0.0446,loser,True,False
INE290S01011,CarTrade Tech Ltd.,MB,2021-08-20,2021,20.29,2999.0,50.0,5,0,0.2104,-0.6573,-0.6083,winner,False,True
INE0H5O01029,Windlas Biotech Ltd.,MB,2021-08-16,2021,22.47,402.0,38.1,5,0,0.7699,-0.551,-0.5351,winner,False,True
INE645S01024,Rolex Rings Ltd.,MB,2021-08-09,2021,,731.0,51.6,5,0,0.5372,0.4678,1.0043,winner,False,True
INE03Q201024,Glenmark Life Sciences Ltd.,MB,2021-08-06,2021,,1514.0,42.8,5,0,0.434,-0.4694,-0.3744,winner,False,True
INE00D001018,Rex Pipes & Cables Industries Ltd.,SME,2021-08-10,2021,,6.0,55.2,5,0,5.7019,0.3278,0.4481,multibagger,False,True
INE953O01021,Sansera Engineering Ltd.,MB,2021-09-24,2021,,1283.0,56.2,5,0,2.9585,-0.1082,-0.0512,multibagger,False,True
INE00FF01025,Acutaas Chemicals Ltd.,MB,2021-09-14,2021,,570.0,76.6,5,0,9.2705,-0.1845,0.696,multibagger,False,True
INE043W01024,Vijaya Diagnostic Centre Ltd.,MB,2021-09-14,2021,4.54,1894.0,49.6,5,0,1.5846,-0.3835,-0.2381,multibagger,False,True
INE0GAO01018,Prevest Denpro Ltd.,SME,2021-09-27,2021,,27.0,73.4,5,0,3.5833,1.186,3.8256,multibagger,False,True
INE404A01024,Aditya Birla Sun Life AMC Ltd.,MB,2021-10-11,2021,,2768.0,54.2,5,0,0.473,-0.3166,-0.3813,winner,False,True
INE045601023,Paras Defence & Space Technologies Ltd.,MB,2021-10-01,2021,,171.0,46.3,5,0,9.9731,0.442,2.9874,multibagger,False,True
INE0GN101014,D.K.Enterprises Global Ltd.,SME,2021-10-22,2021,,8.0,59.4,5,0,0.6038,0.1383,0.2,winner,False,True
INE0CWK01019,Adishakti Loha & Ispat Ltd.,SME,2021-10-13,2021,,2.0,50.8,5,0,0.0273,-0.1868,-0.2227,flat,False,False
INE0I2F01015,Promax Power Ltd.,SME,2021-10-12,2021,,2.0,73.4,5,0,0.449,1.0872,1.355,winner,False,True
INE0HLJ01013,Shri Venkatesh Refineries Ltd.,SME,2021-10-11,2021,,12.0,59.1,5,0,5.2475,4.7258,4.97,multibagger,False,True
INE02KC01010,Jainam Ferro Alloys (I) Ltd.,SME,2021-10-08,2021,,20.0,70.2,5,0,2.5857,1.2787,1.3457,multibagger,False,True
INE144Z01023,Tarsons Products Ltd.,MB,2021-11-26,2021,,1024.0,51.0,5,0,-0.6817,-0.2411,0.0461,loser,True,False
INE0I7C01011,Latent View Analytics Ltd.,MB,2021-11-23,2021,326.49,600.0,36.1,5,0,0.5868,-0.2783,0.8987,winner,False,True
INE284S01014,S.J.S.Enterprises Ltd.,MB,2021-11-15,2021,1.59,800.0,52.0,5,0,2.697,-0.0777,-0.1165,multibagger,False,True
INE388Y01029,FSN E-Commerce Ventures Ltd.,MB,2021-11-10,2021,81.78,5350.0,59.1,5,0,0.3989,-0.4886,0.004,winner,False,True
INE0J0B01017,Kotyark Industries Ltd.,SME,2021-11-02,2021,,11.0,67.7,5,0,7.0892,9.6414,9.1196,multibagger,False,True
INE925R01014,CMS Info Systems Ltd.,MB,2021-12-31,2021,1.95,1100.0,65.7,5,0,0.4157,0.2688,0.447,winner,False,True
INE07RO01027,Supriya Lifescience Ltd.,MB,2021-12-28,2021,71.51,700.0,50.8,5,0,2.4597,-0.4553,-0.1495,multibagger,False,True
INE0IX101010,Data Patterns (India) Ltd.,MB,2021-12-24,2021,119.62,588.0,51.7,5,0,6.201,0.2969,0.7348,multibagger,False,True
INE804L01022,Medplus Health Services Ltd.,MB,2021-12-23,2021,52.59,1398.0,56.8,5,0,0.0788,-0.4768,-0.2026,flat,False,False
INE317I01021,Metro Brands Ltd.,MB,2021-12-22,2021,3.64,1368.0,64.2,5,0,1.0468,0.6202,0.6668,multibagger,False,True
INE0BV301023,C.E.Info systems Ltd.,MB,2021-12-21,2021,154.71,1040.0,56.5,5,0,-0.1739,-0.2849,0.0797,flat,True,False
INE463V01026,Anand Rathi Wealth Ltd.,MB,2021-12-14,2021,20.7,659.0,53.3,5,0,11.7513,0.1047,0.2538,multibagger,False,True
INE011K01018,Tega Industries Ltd.,MB,2021-12-13,2021,,619.0,47.4,5,0,3.0788,-0.2134,0.3752,multibagger,False,True
INE0JJS01014,Clara Industries Ltd.,SME,2021-12-29,2021,,3.0,76.2,5,0,-0.1279,3.0512,3.2035,flat,True,False
INE0I7D01019,Foce India Ltd.,SME,2021-12-28,2021,,29.0,55.8,5,0,5.2933,2.0676,2.1289,multibagger,False,True
INE0JM501013,Nupur Recyclers Ltd.,SME,2021-12-23,2021,,34.0,73.2,5,0,2.8841,2.6307,3.7575,multibagger,False,True
INE07L501010,DMR Hydroengineering & Infrastructures Ltd.,SME,2021-12-07,2021,,2.0,59.5,5,0,0.6333,0.3099,0.7381,winner,False,True
INE583L01014,AGS Transact Technologies Ltd.,MB,2022-01-31,2022,7.79,680.0,56.1,5,0,-1.0,-0.6581,-0.6683,wipeout,True,False
INE0DRT01018,Fabino Life Sciences Ltd.,SME,2022-01-13,2022,,3.0,55.6,5,0,-0.4358,-0.1892,-0.1097,loser,True,False
INE08PH01015,AB Cotspin India Ltd.,SME,2022-01-11,2022,,10.0,60.5,5,0,4.8331,0.2217,0.4,multibagger,False,True
INE825V01034,Vedant Fashions Ltd.,MB,2022-02-16,2022,2.57,3149.0,58.9,5,0,-0.5319,0.2722,0.4159,loser,True,False
INE699H01024,AWL Agri Business Ltd.,MB,2022-02-08,2022,0.26,3600.0,55.7,5,0,-0.1788,0.5262,0.8209,flat,True,False
INE0KAF01018,Quality RO Industries Ltd.,SME,2022-02-09,2022,,3.0,77.4,5,0,0.2659,0.9596,1.0892,winner,False,True
INE0GGO01015,Krishival Foods Ltd.,SME,2022-03-31,2022,,19.0,65.5,5,0,9.8324,5.1477,6.3203,multibagger,False,True
INE0KNW01016,KN Agri Resources Ltd.,SME,2022-03-28,2022,,49.0,65.5,5,0,1.6179,-0.2836,0.364,multibagger,False,True
INE0KQ001017,Bhatia Colour Chem Ltd.,SME,2022-03-24,2022,,40.0,75.2,5,0,-0.442,0.1209,-0.42,loser,True,False
